"","screen_name","text","link","date","year","week","dmy","rt_user","hashtags"
"1","@blog_fdik_org","RT @T_von_Allmen: Jetzt gehen wir aufs Ganze! Mit unseren öffentlichen Sammelaktionen in der Stadt Zug und Luzern wollen wir noch mehr Unterschriften gegen #Versicherungsspitzel generieren, um das Überwachungsgesetz zu ""bodigen"". 

Sei auch Du dabei <f0><U+009F><U+0091><U+0089>https://t.co/Eu0cWYcc2g #ATSG https://t.co/8Tm1tBE5LM","http://twitter.com/blog_fdik_org/status/989909467767758849",2018-04-27 18:49:00,2018,17,2018-04-27,"RT @T_von_Allmen:","c(""#versicherungsspitzel "", ""#atsg "")"
"2","@AlbertKeel1","RT @MMeschenmoser: Sagt der einte Sozialdetektiv zum anderen:
„Entweder ist er wirklich blind - oder er hat uns entdeckt.“

@tdgGeneve zu #Versicherungsspione https://t.co/bFoumVdWIZ","http://twitter.com/AlbertKeel1/status/989914684827545600",2018-04-27 19:10:00,2018,17,2018-04-27,"RT @MMeschenmoser:","#versicherungsspione "
"3","@Laberkasten","RT @MMeschenmoser: Sagt der einte Sozialdetektiv zum anderen:
„Entweder ist er wirklich blind - oder er hat uns entdeckt.“

@tdgGeneve zu #Versicherungsspione https://t.co/bFoumVdWIZ","http://twitter.com/Laberkasten/status/989914884254130177",2018-04-27 19:11:00,2018,17,2018-04-27,"RT @MMeschenmoser:","#versicherungsspione "
"4","@Voegizug","RT @MarcBuergi: Was ist denn nur mit Rudolf Strahm los? Eine Analyse. Denn ein #Gesetz, das kein Verwertungsverbot enthält (wie z.B. die StPO) und dessen Nichtbeachtung somit keinerlei Konsequenzen nach sich zieht, ist für die Katz. #Überwachungsstaat #Versicherungsspione https://t.co/DJebJBdapp","http://twitter.com/Voegizug/status/989959025944121344",2018-04-27 22:06:00,2018,17,2018-04-27,"RT @MarcBuergi:","c(""#gesetz, "", ""#überwachungsstaat "", ""#versicherungsspione "")"
"5","@rentapwha","RT @SchenkerSilvia: Ganz stark @DimitriRougy ! #versicherungsspione #versicherungsdetektive https://t.co/8vsCfeYgVD","http://twitter.com/rentapwha/status/989962964441686016",2018-04-27 22:22:00,2018,17,2018-04-27,"RT @SchenkerSilvia:","c(""#versicherungsspione "", ""#versicherungsdetektive "")"
"6","@rentapwha","RT @Referendum_CH: Citizen movement campaigns to curb 'social detectives' - @swissinfo_en #DearDemocracy #Versicherungsspione @SibylleBerg @dani_graf @DimitriRougy @wecollectCH https://t.co/RUj3cdvC4u","http://twitter.com/rentapwha/status/989963071480303618",2018-04-27 22:22:00,2018,17,2018-04-27,"RT @Referendum_CH:","c(""#deardemocracy "", ""#versicherungsspione "")"
"7","@Nightingal_news","@Bindeglied Dafür hat man dann die Sozialdetektive auf den Fersen...","http://twitter.com/Nightingal_news/status/989985181762248704",2018-04-27 23:50:00,2018,17,2018-04-27,NA,"character(0)"
"8","@NPadrutt","RT @SchenkerSilvia: Sagen wir doch. Darum jetzt unbedingt Referendum unterstützen. Hier unterschreiben: https://t.co/uSWOexYXIi und ab auf die Post. #Versicherungsspitzel #Versicherungsspione https://t.co/eUgiGyOwlo","http://twitter.com/NPadrutt/status/990000504330694656",2018-04-28 00:51:00,2018,17,2018-04-28,"RT @SchenkerSilvia:","c(""#versicherungsspitzel "", ""#versicherungsspione "")"
"9","@Voegizug","RT @Nightingal_news: @Bindeglied Dafür hat man dann die Sozialdetektive auf den Fersen...","http://twitter.com/Voegizug/status/990006262971723776",2018-04-28 01:14:00,2018,17,2018-04-28,"RT @Nightingal_news:","character(0)"
"10","@Voegizug","RT @SchenkerSilvia: Sagen wir doch. Darum jetzt unbedingt Referendum unterstützen. Hier unterschreiben: https://t.co/uSWOexYXIi und ab auf die Post. #Versicherungsspitzel #Versicherungsspione https://t.co/eUgiGyOwlo","http://twitter.com/Voegizug/status/990026371022970881",2018-04-28 02:34:00,2018,17,2018-04-28,"RT @SchenkerSilvia:","c(""#versicherungsspitzel "", ""#versicherungsspione "")"
"11","@Voegizug","RT @Ugugu: Wie können die (also wir) es wagen?! 

@ma_rieba zerpflückt Ruedi Strahms Altherrenkolumne. <f0><U+009F><U+0091><U+0087>

#Versicherungsspione https://t.co/6aLEQJPC5w","http://twitter.com/Voegizug/status/990027772796923904",2018-04-28 02:39:00,2018,17,2018-04-28,"RT @Ugugu:","#versicherungsspione "
"12","@spzuerich","RT @FelixZRH: Dieses Gesetz unterhöhlt den Sozialstaat
Gegen Betrüger bei der Sozialversicherung sollte die Polizei ermitteln, nicht eine Versicherung. Eine Replik auf Strahm.
#Sozialdetektive #Versicherungsspitzel #Versicherungsspione #SozSpitzel
https://t.co/VM8TqIqRix via @tagesanzeiger","http://twitter.com/spzuerich/status/990109861928202240",2018-04-28 08:06:00,2018,17,2018-04-28,"RT @FelixZRH:","c(""#sozialdetektive "", ""#versicherungsspitzel "", ""#versicherungsspione "", ""#sozspitzel"")"
"13","@frau_frogg","RT @ma_rieba: Wie kann eine zusammengewürfelte Truppe aus diesen Internet es wagen, die göttliche Ordnung zu stören? Einige Ausführungen zum Kommentar von #Strahm im Tagi. #Versicherungsspione
https://t.co/JO5WvwuJhY","http://twitter.com/frau_frogg/status/990120375265587200",2018-04-28 08:47:00,2018,17,2018-04-28,"RT @ma_rieba:","c(""#strahm "", ""#versicherungsspione"")"
"14","@PTamborrini","RT @SchenkerSilvia: Sagen wir doch. Darum jetzt unbedingt Referendum unterstützen. Hier unterschreiben: https://t.co/uSWOexYXIi und ab auf die Post. #Versicherungsspitzel #Versicherungsspione https://t.co/eUgiGyOwlo","http://twitter.com/PTamborrini/status/990126653455196160",2018-04-28 09:12:00,2018,17,2018-04-28,"RT @SchenkerSilvia:","c(""#versicherungsspitzel "", ""#versicherungsspione "")"
"15","@PTamborrini","RT @PeterSigerist: #Versicherungsspione #versicherungsspitzel #Referendum jetzt unterschreiben - da wird #RuediStrahms #Polemik Punkt für Punkt kompetent richtig gestellt https://t.co/1kX8WQuZig","http://twitter.com/PTamborrini/status/990126719402233856",2018-04-28 09:13:00,2018,17,2018-04-28,"RT @PeterSigerist:","c(""#versicherungsspione "", ""#versicherungsspitzel "", ""#referendum "", ""#ruedistrahms "", ""#polemik "")"
"16","@PTamborrini","Wie können die es wagen?! 
Marie Baumann.         #versicherungsspitzel #astg #versicherungsspione #referendum 
 https://t.co/A6xoYa1Lp8","http://twitter.com/PTamborrini/status/990128368384401408",2018-04-28 09:19:00,2018,17,2018-04-28,NA,"c(""#versicherungsspitzel "", ""#astg "", ""#versicherungsspione "", ""#referendum "")"
"17","@svend_madsen","RT @SchenkerSilvia: Sagen wir doch. Darum jetzt unbedingt Referendum unterstützen. Hier unterschreiben: https://t.co/uSWOexYXIi und ab auf die Post. #Versicherungsspitzel #Versicherungsspione https://t.co/eUgiGyOwlo","http://twitter.com/svend_madsen/status/990129908478332930",2018-04-28 09:25:00,2018,17,2018-04-28,"RT @SchenkerSilvia:","c(""#versicherungsspitzel "", ""#versicherungsspione "")"
"18","@peschemuller","@DBinswanger Wer überwacht eigentlich die #Sozialdetektive ?","http://twitter.com/peschemuller/status/990132615998050304",2018-04-28 09:36:00,2018,17,2018-04-28,NA,"#sozialdetektive "
"19","@Nils_Gueggi","Lesenswertes Plädoyer von @DBinswanger gegen geplante Versichertenüberwachung mit zentralem Argument, dass private Sozialdetektive weitergehende Observierungsrechte hätten als Polizei bei strafrechtlichen Ermittlungen https://t.co/QlbJiorJ1b #ATSG @DimitriRougy @SibylleBerg","http://twitter.com/Nils_Gueggi/status/990139652643479552",2018-04-28 10:04:00,2018,17,2018-04-28,NA,"#atsg "
"20","@wahlch15","RT @ma_rieba: Wie kann eine zusammengewürfelte Truppe aus diesen Internet es wagen, die göttliche Ordnung zu stören? Einige Ausführungen zum Kommentar von #Strahm im Tagi. #Versicherungsspione
https://t.co/JO5WvwuJhY","http://twitter.com/wahlch15/status/990147174083198977",2018-04-28 10:34:00,2018,17,2018-04-28,"RT @ma_rieba:","c(""#strahm "", ""#versicherungsspione"")"
"21","@brh_justizundso","RT @Nils_Gueggi: Lesenswertes Plädoyer von @DBinswanger gegen geplante Versichertenüberwachung mit zentralem Argument, dass private Sozialdetektive weitergehende Observierungsrechte hätten als Polizei bei strafrechtlichen Ermittlungen https://t.co/QlbJiorJ1b #ATSG @DimitriRougy @SibylleBerg","http://twitter.com/brh_justizundso/status/990149793904234497",2018-04-28 10:44:00,2018,17,2018-04-28,"RT @Nils_Gueggi:","#atsg "
"22","@DorisBaumgartn4","RT @SchenkerSilvia: Ganz stark @DimitriRougy ! #versicherungsspione #versicherungsdetektive https://t.co/8vsCfeYgVD","http://twitter.com/DorisBaumgartn4/status/990151862623064066",2018-04-28 10:52:00,2018,17,2018-04-28,"RT @SchenkerSilvia:","c(""#versicherungsspione "", ""#versicherungsdetektive "")"
"23","@MartinBraendle","RT @ma_rieba: Wie kann eine zusammengewürfelte Truppe aus diesen Internet es wagen, die göttliche Ordnung zu stören? Einige Ausführungen zum Kommentar von #Strahm im Tagi. #Versicherungsspione
https://t.co/JO5WvwuJhY","http://twitter.com/MartinBraendle/status/990169809278111744",2018-04-28 12:04:00,2018,17,2018-04-28,"RT @ma_rieba:","c(""#strahm "", ""#versicherungsspione"")"
"24","@muusaebaer","Eine gelungene Gegendarstellung von @SchenkerSilvia zu @RuthHumbel's Lobbyingkommentar in der @AargauerZeitung: #Versicherungsspione #versicherungsspitzel
https://t.co/0SxEVRUaAt","http://twitter.com/muusaebaer/status/990175891656527873",2018-04-28 12:28:00,2018,17,2018-04-28,NA,"c(""#versicherungsspione "", ""#versicherungsspitzel"")"
"25","@MikeTieche","Man kann auch gegen das Überwachungsgesetz und für mehr Kontrolle gegen Versicherungsbetrug sein. Mögen die Köpfe der schlichten Gemüter implodieren. #Grundrechte #Versicherungsspione","http://twitter.com/MikeTieche/status/990176985774284800",2018-04-28 12:32:00,2018,17,2018-04-28,NA,"c(""#grundrechte "", ""#versicherungsspione"")"
"26","@PeterSigerist","#GrünRotGewerkschaftlichePolitik Tun wir dies, sollen wir das tun. Tun wir das, sollen wir dies tun. So billig u trivial. Sowohl als auch u alles zu seiner Zeit: #Versicherungsspitzel #Referendum jetzt unterschreiben @wecollectCH https://t.co/HFrunleA89","http://twitter.com/PeterSigerist/status/990186100131090432",2018-04-28 13:08:00,2018,17,2018-04-28,NA,"c(""#grünrotgewerkschaftlichepolitik "", ""#versicherungsspitzel "", ""#referendum "")"
